time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447400000	19.735	8.9013	4.66327	1.13661	0.349952	lidar	4.06164	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8096	9.12007	4.63031	1.17008	0.377283	radar	1.00751	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9387	9.35019	4.67664	1.17785	0.364398	lidar	3.13605	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9851	9.56861	4.60888	1.22306	0.41096	radar	2.60504	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0707	9.81321	4.65543	1.24653	0.41426	lidar	0.892288	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1318	10.0628	4.71272	1.27337	0.415111	radar	7.26004	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.178	10.3412	4.78664	1.31356	0.437129	lidar	1.03829	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.194	10.5762	4.7421	1.36265	0.482108	radar	2.89138	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2508	10.8537	4.8178	1.39139	0.486898	lidar	2.11453	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2794	11.112	4.85793	1.42108	0.488526	radar	4.89328	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3135	11.351	4.85592	1.44482	0.487778	lidar	0.000988198	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2585	11.5994	4.79372	1.52449	0.579997	radar	10.4918	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3302	11.8392	4.80282	1.52805	0.551447	lidar	4.86677	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.357	12.0736	4.83385	1.53067	0.500458	radar	3.77699	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.342	12.3645	4.91631	1.56981	0.515095	lidar	1.0925	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2916	12.6027	4.86775	1.62973	0.576487	radar	3.1307	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3174	12.8404	4.85721	1.64083	0.557073	lidar	1.91061	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3058	13.0704	4.83246	1.66628	0.557568	radar	2.10224	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2716	13.2813	4.78412	1.6954	0.559527	lidar	0.999438	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2336	13.5157	4.78897	1.72083	0.55025	radar	1.30058	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
